id,display_name,normalized_name,level,wikidata,parents,parent_ids
https://openalex.org/c17744445,Political science,political science,0,https://www.wikidata.org/wiki/Q36442,,
https://openalex.org/c138885662,Philosophy,philosophy,0,https://www.wikidata.org/wiki/Q5891,,
https://openalex.org/c162324750,Economics,economics,0,https://www.wikidata.org/wiki/Q8134,,
https://openalex.org/c144133560,Business,business,0,https://www.wikidata.org/wiki/Q4830453,,
https://openalex.org/c15744967,Psychology,psychology,0,https://www.wikidata.org/wiki/Q9418,,
https://openalex.org/c33923547,Mathematics,mathematics,0,https://www.wikidata.org/wiki/Q395,,
https://openalex.org/c71924100,Medicine,medicine,0,https://www.wikidata.org/wiki/Q11190,,
https://openalex.org/c86803240,Biology,biology,0,https://www.wikidata.org/wiki/Q420,,
https://openalex.org/c41008148,Computer science,computer science,0,https://www.wikidata.org/wiki/Q21198,,
https://openalex.org/c127313418,Geology,geology,0,https://www.wikidata.org/wiki/Q1069,,
https://openalex.org/c185592680,Chemistry,chemistry,0,https://www.wikidata.org/wiki/Q2329,,
https://openalex.org/c142362112,Art,art,0,https://www.wikidata.org/wiki/Q735,,
https://openalex.org/c144024400,Sociology,sociology,0,https://www.wikidata.org/wiki/Q21201,,
https://openalex.org/c127413603,Engineering,engineering,0,https://www.wikidata.org/wiki/Q11023,,
https://openalex.org/c205649164,Geography,geography,0,https://www.wikidata.org/wiki/Q1071,,
https://openalex.org/c95457728,History,history,0,https://www.wikidata.org/wiki/Q309,,
https://openalex.org/c192562407,Materials science,materials science,0,https://www.wikidata.org/wiki/Q228736,,
https://openalex.org/c121332964,Physics,physics,0,https://www.wikidata.org/wiki/Q413,,
https://openalex.org/c39432304,Environmental science,environmental science,0,https://www.wikidata.org/wiki/Q188847,,
https://openalex.org/c6303427,Economic history,economic history,1,https://www.wikidata.org/wiki/Q47398,"Economics, History","https://openalex.org/C162324750, https://openalex.org/C95457728"
https://openalex.org/c19417346,Pedagogy,pedagogy,1,https://www.wikidata.org/wiki/Q7922,"Psychology, Sociology","https://openalex.org/C15744967, https://openalex.org/C144024400"
https://openalex.org/c26271046,Economic geography,economic geography,1,https://www.wikidata.org/wiki/Q187097,"Economics, Geography","https://openalex.org/C162324750, https://openalex.org/C205649164"
https://openalex.org/c2524010,Geometry,geometry,1,https://www.wikidata.org/wiki/Q8087,Mathematics,https://openalex.org/C33923547
https://openalex.org/c3079626,Quantum electrodynamics,quantum electrodynamics,1,https://www.wikidata.org/wiki/Q234881,Physics,https://openalex.org/C121332964
https://openalex.org/c46141821,Nuclear magnetic resonance,nuclear magnetic resonance,1,https://www.wikidata.org/wiki/Q209402,Physics,https://openalex.org/C121332964
https://openalex.org/c61696701,Engineering physics,engineering physics,1,https://www.wikidata.org/wiki/Q770766,"Engineering, Physics","https://openalex.org/C127413603, https://openalex.org/C121332964"
https://openalex.org/c41895202,Linguistics,linguistics,1,https://www.wikidata.org/wiki/Q8162,Philosophy,https://openalex.org/C138885662
https://openalex.org/c47768531,Development economics,development economics,1,https://www.wikidata.org/wiki/Q1127188,Economics,https://openalex.org/C162324750
https://openalex.org/c126348684,Polymer science,polymer science,1,https://www.wikidata.org/wiki/Q3456979,"Chemistry, Materials science","https://openalex.org/C185592680, https://openalex.org/C192562407"
https://openalex.org/c74909509,Gerontology,gerontology,1,https://www.wikidata.org/wiki/Q10387,Medicine,https://openalex.org/C71924100
https://openalex.org/c165205528,Seismology,seismology,1,https://www.wikidata.org/wiki/Q83371,Geology,https://openalex.org/C127313418
https://openalex.org/c107053488,Construction engineering,construction engineering,1,https://www.wikidata.org/wiki/Q2674423,Engineering,https://openalex.org/C127413603
https://openalex.org/c121864883,Statistical physics,statistical physics,1,https://www.wikidata.org/wiki/Q677916,Physics,https://openalex.org/C121332964
https://openalex.org/c169760540,Neuroscience,neuroscience,1,https://www.wikidata.org/wiki/Q207011,"Biology, Psychology","https://openalex.org/C86803240, https://openalex.org/C15744967"
https://openalex.org/c126322002,Internal medicine,internal medicine,1,https://www.wikidata.org/wiki/Q11180,Medicine,https://openalex.org/C71924100
https://openalex.org/c195094911,Process management,process management,1,https://www.wikidata.org/wiki/Q14167904,"Business, Engineering","https://openalex.org/C144133560, https://openalex.org/C127413603"
https://openalex.org/c512399662,Family medicine,family medicine,1,https://www.wikidata.org/wiki/Q3505712,Medicine,https://openalex.org/C71924100
https://openalex.org/c147597530,Computational chemistry,computational chemistry,1,https://www.wikidata.org/wiki/Q369472,Chemistry,https://openalex.org/C185592680
https://openalex.org/c164705383,Cardiology,cardiology,1,https://www.wikidata.org/wiki/Q10379,Medicine,https://openalex.org/C71924100
https://openalex.org/c166957645,Archaeology,archaeology,1,https://www.wikidata.org/wiki/Q23498,"Geography, History","https://openalex.org/C205649164, https://openalex.org/C95457728"
https://openalex.org/c171146098,Automotive engineering,automotive engineering,1,https://www.wikidata.org/wiki/Q124192,Engineering,https://openalex.org/C127413603
https://openalex.org/c19165224,Anthropology,anthropology,1,https://www.wikidata.org/wiki/Q23404,Sociology,https://openalex.org/C144024400
https://openalex.org/c29595303,Media studies,media studies,1,https://www.wikidata.org/wiki/Q165650,Sociology,https://openalex.org/C144024400
https://openalex.org/c29694066,Orthodontics,orthodontics,1,https://www.wikidata.org/wiki/Q118301,Medicine,https://openalex.org/C71924100
https://openalex.org/c33332235,Theoretical physics,theoretical physics,1,https://www.wikidata.org/wiki/Q18362,Physics,https://openalex.org/C121332964
https://openalex.org/c54355233,Genetics,genetics,1,https://www.wikidata.org/wiki/Q7162,Biology,https://openalex.org/C86803240
https://openalex.org/c73484699,Criminology,criminology,1,https://www.wikidata.org/wiki/Q161733,"Psychology, Sociology","https://openalex.org/C15744967, https://openalex.org/C144024400"
https://openalex.org/c78519656,Mechanical engineering,mechanical engineering,1,https://www.wikidata.org/wiki/Q101333,Engineering,https://openalex.org/C127413603
https://openalex.org/c112930515,Risk analysis (engineering),risk analysis,1,https://www.wikidata.org/wiki/Q4389547,"Business, Medicine","https://openalex.org/C144133560, https://openalex.org/C71924100"
https://openalex.org/c162118730,Actuarial science,actuarial science,1,https://www.wikidata.org/wiki/Q1128453,"Business, Economics","https://openalex.org/C144133560, https://openalex.org/C162324750"
https://openalex.org/c11413529,Algorithm,algorithm,1,https://www.wikidata.org/wiki/Q8366,"Computer science, Mathematics","https://openalex.org/C41008148, https://openalex.org/C33923547"
https://openalex.org/c12554922,Biophysics,biophysics,1,https://www.wikidata.org/wiki/Q7100,Biology,https://openalex.org/C86803240
https://openalex.org/c13736549,Industrial engineering,industrial engineering,1,https://www.wikidata.org/wiki/Q4489420,Engineering,https://openalex.org/C127413603
https://openalex.org/c27206212,Theology,theology,1,https://www.wikidata.org/wiki/Q34178,Philosophy,https://openalex.org/C138885662
https://openalex.org/c29456083,Gynecology,gynecology,1,https://www.wikidata.org/wiki/Q1221899,Medicine,https://openalex.org/C71924100
https://openalex.org/c41999313,Molecular physics,molecular physics,1,https://www.wikidata.org/wiki/Q489328,"Chemistry, Physics","https://openalex.org/C185592680, https://openalex.org/C121332964"
https://openalex.org/c24326235,Electronic engineering,electronic engineering,1,https://www.wikidata.org/wiki/Q126095,Engineering,https://openalex.org/C127413603
https://openalex.org/c42219234,Anesthesia,anesthesia,1,https://www.wikidata.org/wiki/Q131130,Medicine,https://openalex.org/C71924100
https://openalex.org/c43617362,Chromatography,chromatography,1,https://www.wikidata.org/wiki/Q170050,Chemistry,https://openalex.org/C185592680
https://openalex.org/c49774154,Multimedia,multimedia,1,https://www.wikidata.org/wiki/Q131765,Computer science,https://openalex.org/C41008148
https://openalex.org/c77088390,Database,database,1,https://www.wikidata.org/wiki/Q8513,Computer science,https://openalex.org/C41008148
https://openalex.org/c61434518,General surgery,general surgery,1,https://www.wikidata.org/wiki/Q932510,Medicine,https://openalex.org/C71924100
https://openalex.org/c126838900,Radiology,radiology,1,https://www.wikidata.org/wiki/Q77604,Medicine,https://openalex.org/C71924100
https://openalex.org/c105639569,Economic policy,economic policy,1,https://www.wikidata.org/wiki/Q582577,"Business, Economics","https://openalex.org/C144133560, https://openalex.org/C162324750"
https://openalex.org/c108827166,Internet privacy,internet privacy,1,https://www.wikidata.org/wiki/Q175975,Computer science,https://openalex.org/C41008148
https://openalex.org/c112698675,Advertising,advertising,1,https://www.wikidata.org/wiki/Q37038,Business,https://openalex.org/C144133560
https://openalex.org/c195244886,Ancient history,ancient history,1,https://www.wikidata.org/wiki/Q41493,History,https://openalex.org/C95457728
https://openalex.org/c204321447,Natural language processing,natural language processing,1,https://www.wikidata.org/wiki/Q30642,Computer science,https://openalex.org/C41008148
https://openalex.org/c2522767166,Data science,data science,1,https://www.wikidata.org/wiki/Q2374463,Computer science,https://openalex.org/C41008148
https://openalex.org/c149635348,Embedded system,embedded system,1,https://www.wikidata.org/wiki/Q193040,"Computer science, Engineering","https://openalex.org/C41008148, https://openalex.org/C127413603"
https://openalex.org/c154945302,Artificial intelligence,artificial intelligence,1,https://www.wikidata.org/wiki/Q11660,Computer science,https://openalex.org/C41008148
https://openalex.org/c97355855,Thermodynamics,thermodynamics,1,https://www.wikidata.org/wiki/Q11473,Physics,https://openalex.org/C121332964
https://openalex.org/c185544564,Nuclear physics,nuclear physics,1,https://www.wikidata.org/wiki/Q81197,Physics,https://openalex.org/C121332964
https://openalex.org/c187212893,Pediatrics,pediatrics,1,https://www.wikidata.org/wiki/Q123028,Medicine,https://openalex.org/C71924100
https://openalex.org/c107826830,Environmental resource management,environmental resource management,1,https://www.wikidata.org/wiki/Q929380,"Economics, Environmental science","https://openalex.org/C162324750, https://openalex.org/C39432304"
https://openalex.org/c524765639,Water resource management,water resource management,1,https://www.wikidata.org/wiki/Q1501619,Environmental science,https://openalex.org/C39432304
https://openalex.org/c138496976,Developmental psychology,developmental psychology,1,https://www.wikidata.org/wiki/Q175002,Psychology,https://openalex.org/C15744967
https://openalex.org/c139719470,Macroeconomics,macroeconomics,1,https://www.wikidata.org/wiki/Q39680,Economics,https://openalex.org/C162324750
https://openalex.org/c199289684,Mineralogy,mineralogy,1,https://www.wikidata.org/wiki/Q83353,"Chemistry, Geology","https://openalex.org/C185592680, https://openalex.org/C127313418"
https://openalex.org/c505870484,Fishery,fishery,1,https://www.wikidata.org/wiki/Q180538,Biology,https://openalex.org/C86803240
https://openalex.org/c556758197,Monetary economics,monetary economics,1,https://www.wikidata.org/wiki/Q580018,Economics,https://openalex.org/C162324750
https://openalex.org/c70410870,Clinical psychology,clinical psychology,1,https://www.wikidata.org/wiki/Q199906,"Medicine, Psychology","https://openalex.org/C71924100, https://openalex.org/C15744967"
https://openalex.org/c70721500,Computational biology,computational biology,1,https://www.wikidata.org/wiki/Q177005,Biology,https://openalex.org/C86803240
https://openalex.org/c78458016,Evolutionary biology,evolutionary biology,1,https://www.wikidata.org/wiki/Q840400,Biology,https://openalex.org/C86803240
https://openalex.org/c79403827,Real-time computing,real time computing,1,https://www.wikidata.org/wiki/Q3988,Computer science,https://openalex.org/C41008148
https://openalex.org/c105702510,Anatomy,anatomy,1,https://www.wikidata.org/wiki/Q514,"Biology, Medicine","https://openalex.org/C86803240, https://openalex.org/C71924100"
https://openalex.org/c105795698,Statistics,statistics,1,https://www.wikidata.org/wiki/Q12483,Mathematics,https://openalex.org/C33923547
https://openalex.org/c120314980,Distributed computing,distributed computing,1,https://www.wikidata.org/wiki/Q180634,Computer science,https://openalex.org/C41008148
https://openalex.org/c120665830,Optics,optics,1,https://www.wikidata.org/wiki/Q14620,Physics,https://openalex.org/C121332964
https://openalex.org/c177322064,Radiochemistry,radiochemistry,1,https://www.wikidata.org/wiki/Q750955,Chemistry,https://openalex.org/C185592680
https://openalex.org/c177713679,Intensive care medicine,intensive care medicine,1,https://www.wikidata.org/wiki/Q679690,Medicine,https://openalex.org/C71924100
https://openalex.org/c548259974,Audiology,audiology,1,https://www.wikidata.org/wiki/Q569965,Medicine,https://openalex.org/C71924100
https://openalex.org/c49204034,Climatology,climatology,1,https://www.wikidata.org/wiki/Q52139,Geology,https://openalex.org/C127313418
https://openalex.org/c114793014,Geomorphology,geomorphology,1,https://www.wikidata.org/wiki/Q52109,Geology,https://openalex.org/C127313418
https://openalex.org/c147789679,Physical chemistry,physical chemistry,1,https://www.wikidata.org/wiki/Q11372,Chemistry,https://openalex.org/C185592680
https://openalex.org/c167562979,Classical economics,classical economics,1,https://www.wikidata.org/wiki/Q271857,Economics,https://openalex.org/C162324750
https://openalex.org/c175444787,Microeconomics,microeconomics,1,https://www.wikidata.org/wiki/Q39072,Economics,https://openalex.org/C162324750
https://openalex.org/c178790620,Organic chemistry,organic chemistry,1,https://www.wikidata.org/wiki/Q11351,Chemistry,https://openalex.org/C185592680
https://openalex.org/c188147891,Cognitive science,cognitive science,1,https://www.wikidata.org/wiki/Q147638,Psychology,https://openalex.org/C15744967
https://openalex.org/c2989005,Nuclear medicine,nuclear medicine,1,https://www.wikidata.org/wiki/Q214963,Medicine,https://openalex.org/C71924100
https://openalex.org/c9390403,Computer hardware,computer hardware,1,https://www.wikidata.org/wiki/Q3966,Computer science,https://openalex.org/C41008148
https://openalex.org/c91586092,Atmospheric sciences,atmospheric sciences,1,https://www.wikidata.org/wiki/Q757520,"Geology, Physics","https://openalex.org/C127313418, https://openalex.org/C121332964"
https://openalex.org/c115903868,Software engineering,software engineering,1,https://www.wikidata.org/wiki/Q80993,"Computer science, Engineering","https://openalex.org/C41008148, https://openalex.org/C127413603"
https://openalex.org/c134018914,Endocrinology,endocrinology,1,https://www.wikidata.org/wiki/Q162606,"Biology, Medicine","https://openalex.org/C86803240, https://openalex.org/C71924100"
https://openalex.org/c194828623,Emergency medicine,emergency medicine,1,https://www.wikidata.org/wiki/Q2861470,Medicine,https://openalex.org/C71924100
https://openalex.org/c199639397,Engineering drawing,engineering drawing,1,https://www.wikidata.org/wiki/Q1788588,Engineering,https://openalex.org/C127413603
https://openalex.org/c5900021,Petrology,petrology,1,https://www.wikidata.org/wiki/Q163082,Geology,https://openalex.org/C127313418
https://openalex.org/c21547014,Operations management,operations management,1,https://www.wikidata.org/wiki/Q1423657,"Economics, Engineering","https://openalex.org/C162324750, https://openalex.org/C127413603"
https://openalex.org/c22212356,Transport engineering,transport engineering,1,https://www.wikidata.org/wiki/Q775325,Engineering,https://openalex.org/C127413603
https://openalex.org/c31903555,Food science,food science,1,https://www.wikidata.org/wiki/Q1637030,"Biology, Chemistry","https://openalex.org/C86803240, https://openalex.org/C185592680"
https://openalex.org/c33070731,Toxicology,toxicology,1,https://www.wikidata.org/wiki/Q7218,Biology,https://openalex.org/C86803240
https://openalex.org/c74916050,Classics,classics,1,https://www.wikidata.org/wiki/Q841090,"Art, History","https://openalex.org/C142362112, https://openalex.org/C95457728"
https://openalex.org/c94375191,Arithmetic,arithmetic,1,https://www.wikidata.org/wiki/Q11205,Mathematics,https://openalex.org/C33923547
https://openalex.org/c119767625,Optometry,optometry,1,https://www.wikidata.org/wiki/Q618211,Medicine,https://openalex.org/C71924100
https://openalex.org/c133731056,Control engineering,control engineering,1,https://www.wikidata.org/wiki/Q4917288,Engineering,https://openalex.org/C127413603
https://openalex.org/c144237770,Mathematical economics,mathematical economics,1,https://www.wikidata.org/wiki/Q747534,"Economics, Mathematics","https://openalex.org/C162324750, https://openalex.org/C33923547"
https://openalex.org/c170154142,Architectural engineering,architectural engineering,1,https://www.wikidata.org/wiki/Q150737,Engineering,https://openalex.org/C127413603
https://openalex.org/c8058405,Geophysics,geophysics,1,https://www.wikidata.org/wiki/Q46255,"Geology, Physics","https://openalex.org/C127313418, https://openalex.org/C121332964"
https://openalex.org/c24667770,Religious studies,religious studies,1,https://www.wikidata.org/wiki/Q34187,Philosophy,https://openalex.org/C138885662
https://openalex.org/c46312422,Communication,communication,1,https://www.wikidata.org/wiki/Q11024,"Psychology, Sociology","https://openalex.org/C15744967, https://openalex.org/C144024400"
https://openalex.org/c49040817,Optoelectronics,optoelectronics,1,https://www.wikidata.org/wiki/Q193091,"Materials science, Physics","https://openalex.org/C192562407, https://openalex.org/C121332964"
